ein,year,reference_link,tax_period_end_date,tax_period_start_date,return_type_code,investment_income,gross_rent_income,royalties_income,sale_of_assets_income,investment_management_fees,royalties_expenses,revenue_government_grants,cy_endowment_beginning_balance,cy_endowment_contributions,cy_endowment_net_investment_earnings,cy_endowment_grants_scholarships,cy_endowment_other_expenditures,cy_endowment_admin_expenses,cy_endowment_end_balance
04-2103580,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202401309349304335,2023-06-30,2022-07-01,990,419470369,23852345,85590340,1350099397,128722073,3455691,657397375,49425810000,431655000,1298941000,345682000,1182415000,300636000,49327673000
04-2103580,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202311319349301331,2022-06-30,2021-07-01,990,349946534,26045538,179924584,4661025677,147225956,3849636,619901463,51619868000,770348000,-914067000,322730000,1459422000,268187000,49425810000
04-2103580,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211329349303081,2021-06-30,2020-07-01,990,214934659,23912242,125483481,5042318424,150336248,3673471,591358202,40674723000,427462000,12445078000,286382000,1400197000,240816000,51619868000
04-2103580,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202131339349302713,2020-06-30,2019-07-01,990,255305181,27967666,83564729,3686321020,110296585,4060367,584437200,39731489000,289890000,2594836000,301653000,1408827000,231012000,40674723000
04-2103580,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202031919349301613,2019-06-30,2018-07-01,990,252783408,43446785,118539327,2693491487,138553750,3605432,600606340,38047627000,1203653000,2254628000,294783000,1243231000,236405000,39731489000
04-2103580,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201931299349301613,2018-06-30,2017-07-01,990,233116195,38162538,77774333,1655238172,130353749,3880021,592248780,35963722000,532697000,3226038000,590848000,875767000,208216000,38047626000
04-2103580,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801309349301215,2017-06-30,2016-07-01,990,371025079,25537036,58752212,1890702165,231258838,4124683,575676502,34557074000,530880000,2567516000,560896000,930850000,200002000,35963722000
04-2103580,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201721329349300512,2016-06-30,2015-07-01,990,356449788,28904589,61869744,676643080,171726615,4185832,562978685,36428531000,470076000,-602930000,257659000,1275992000,204952000,34557074000
04-2103580,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201601349349304030,2015-06-30,2014-07-01,990,467554615,32796795,38394969,2152164319,210640651,4152332,548158621,35259921000,1011117000,1892160000,250265000,1288277000,196125000,36428531000
04-2103580,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201521349349302022,2014-06-30,2013-07-01,990,479365224,29805802,39298286,2518775955,177360082,6064630,580469574,31627772000,736006000,4529290000,253540000,1192682000,186925000,35259921000
06-0646973,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441369349303279,2023-06-30,2022-07-01,990,448484811,6810406,11429589,1747783126,205627583,2711131,757357200,41501681084,291890000,758684000,219895942,1287616145,123808753,40920934244
06-0646973,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321359349305547,2022-06-30,2021-07-01,990,392763869,8145169,15889790,3029442584,140746382,2954147,714086283,42356948318,301355000,265880000,200886111,1110684565,110931558,41501681084
06-0646973,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211369349304576,2021-06-30,2020-07-01,990,61143382,1922735,14136434,3588100447,86968318,3212360,650610267,31244272067,636119000,12052824000,194279342,1284375555,97611852,42356948318
06-0646973,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141379349304104,2020-06-30,2019-07-01,990,370913307,3495688,9228260,1726704243,162684933,2563731,610835064,30358036252,331706000,1931965000,194735352,1088897099,93802734,31244272067
06-0646973,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202011969349302901,2019-06-30,2018-07-01,990,463367428,5160921,9744557,1685452313,115874352,2675570,598527785,29509378000,381186000,1629992000,186492442,886059903,89967403,30358036252
06-0646973,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201901359349304795,2018-06-30,2017-07-01,990,390618874,7282019,12842115,1735582170,146588604,2776862,528098000,27441050000,138040000,3277910000,188747483,1072306403,86568114,29509378000
06-0646973,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201821359349305202,2017-06-30,2016-07-01,990,null,null,null,null,null,null,null,25657499000,204249000,2747729000,188164318,896528695,83733987,27441050000
06-0646973,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201741359349303454,2016-06-30,2015-07-01,990,null,null,null,null,null,null,null,25789811000,182188000,753230000,178364898,808937122,80427980,25657499000
06-0646973,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201621379349303347,2015-06-30,2014-07-01,990,null,null,null,null,null,null,null,24089614000,117434000,2579415000,165168000,750471000,81013000,25789811000
06-0646973,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201531359349306243,2014-06-30,2013-07-01,990,null,null,null,null,null,null,null,20993584000,131476000,4037639000,162357000,833291000,77437000,24089614000
94-1156365,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202431949349300033,2023-08-31,2022-09-01,990,373737079,197563649,16177532,687859439,3842671,15876182,1518836616,36338794000,727164000,1165281000,394305749,1342040251,null,36494893000
94-1156365,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202331959349301318,2022-08-31,2021-09-01,990,259907641,211488653,15745830,2304938737,2480796,17888886,1377683131,37788187000,505403000,91944000,340758811,1705981189,null,36338794000
94-1156365,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211969349300436,2021-08-31,2020-09-01,990,171697701,185704341,8214258,3514690662,45295741,11999037,1280476772,28948111000,1408620000,8761609000,325695774,1004457226,null,37788187000
94-1156365,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202101959349302120,2020-08-31,2019-09-01,990,165257978,177990687,7846228,1158495538,47577889,10306633,1257759681,27699834000,491459000,2111876000,309759498,1045298502,null,28948111000
94-1156365,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202021959349303987,2019-08-31,2018-09-01,990,248780376,164398642,9877026,1165552755,55596546,8708104,1305235087,26464912000,212211000,2325746000,298183610,1004851390,null,27699834000
94-1156365,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201901969349301905,2018-08-31,2017-09-01,990,220117552,163079495,7386984,1811953599,47901005,8564937,1299124766,24784943000,532081000,2387634000,281036268,958709732,null,26464912000
94-1156365,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801979349301170,2017-08-31,2016-09-01,990,236982825,146597765,5571279,1874944070,66334561,9424886,1298875674,22398130000,694190000,2859022000,268228571,898170429,null,24784943000
94-1156365,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201731959349300448,2016-08-31,2015-09-01,990,215886676,122857530,4031541,1566907718,31089566,7345665,1138757496,22222957000,376827000,930451000,257975598,874129402,null,22398130000
94-1156365,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201631979349300448,2015-08-31,2014-09-01,990,248759573,111207391,7650063,1363691778,59622713,8459915,1096386460,21446006000,283602000,1551374000,237370999,820654001,null,22222957000
94-1156365,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201541959349300439,2014-08-31,2013-09-01,990,297273970,103624417,8483958,1281899266,26867551,15242687,1036090761,18688868000,659618000,3082735000,222843748,762371252,null,21446006000
21-0634501,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441369349303904,2023-06-30,2022-07-01,990,1730778000,5727000,3766000,176144000,1857000,1724000,406180000,35126217000,556921000,-689719000,285910000,1289030000,37616000,33380863000
21-0634501,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202341359349301724,2022-06-30,2021-07-01,990,3329970000,5259000,3641000,-74370000,1839000,1330000,362297000,37026442000,117556000,-489044000,287352000,1203493000,37892000,35126217000
21-0634501,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202231369349305438,2021-06-30,2020-07-01,990,3835890000,6484000,13271000,-217260000,1821000,8032000,342042000,25944283000,651218000,11883451000,232613000,1192252000,27645000,37026442000
21-0634501,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202131379349301218,2020-06-30,2019-07-01,990,818092000,7204000,13851000,34405000,634000,9369000,336660000,25499645000,432263000,1428455000,253351000,1136033000,26696000,25944283000
21-0634501,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202041979349301854,2019-06-30,2018-07-01,990,1684258000,6463000,9648000,30465000,1878000,4137000,307405000,25316222000,84167000,1450588000,242929000,1083906000,24497000,25499645000
21-0634501,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201941359349302369,2018-06-30,2017-07-01,990,1702251000,29333000,12558000,21479000,2177000,8291000,292917000,23107357000,172264000,3195584000,232513000,903069000,23401000,25316222000
21-0634501,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801359349306295,2017-06-30,2016-07-01,990,1809117000,6192000,69367900,32227000,1650000,22027000,295545000,21529991000,29540000,2631651000,197860000,864137000,21828000,23107357000
21-0634501,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201721359349304687,2016-06-30,2015-07-01,990,1296466000,5796000,131526399,40937000,3324000,41254000,290238000,22081227000,208646000,156391000,178927000,711383000,25963000,21529991000
21-0634501,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201621379349301002,2015-06-30,2014-07-01,990,1876950000,3615000,142846529,98000,2436000,0,274973000,20364964000,175432000,2405883000,171512500,668131500,25408000,22081227000
21-0634501,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201531359349304048,2014-06-30,2013-07-01,990,1227923000,5839000,143319491,16551000,1385000,0,272280000,17328783000,210421000,3648181000,166802000,630082000,25537000,20364964000
04-2103594,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441369349318094,2023-06-30,2022-07-01,990,202948000,87296000,61494000,808241000,141474000,20912000,418711000,24739862000,231362000,-209541000,233933000,859348000,52996000,23615406000
04-2103594,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202311329349308061,2022-06-30,2021-07-01,990,113429000,61128000,61939000,2304099000,85188000,52704000,433407000,27496309000,301237000,-2161602000,173381000,661164000,61537000,24739862000
04-2103594,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202221339349300632,2021-06-30,2020-07-01,990,102272000,156101000,54223000,1999059000,133804000,21126000,395587000,18465010000,191772000,9643184000,153816000,595290000,54551000,27496309000
04-2103594,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202131379349301308,2020-06-30,2019-07-01,990,37179000,42810000,58565000,1198598000,7219000,38036000,421023000,17545703000,120011000,1569985000,150283000,585969000,34437000,18465010000
04-2103594,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202021969349301592,2019-06-30,2018-07-01,990,75179000,206705000,51873000,1461222000,13080000,19565000,361504000,16507029000,321260000,1454555000,138821000,558037000,40283000,17545703000
04-2103594,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201931349349308628,2018-06-30,2017-07-01,990,91181000,90569000,48249000,1048669000,10689000,23010000,357311000,14958882000,137558000,2099040000,131796000,529127000,27528000,16507029000
04-2103594,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201831349349308528,2017-06-30,2016-07-01,990,72774000,99048000,38725000,728958000,24052000,13106000,400523000,13436025000,264521000,1904418000,125405000,501264000,19413000,14958882000
04-2103594,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201711329349305706,2016-06-30,2015-07-01,990,78918000,84177000,57533000,662073000,4612000,19178000,401668000,13687939000,253951000,101323000,117845000,468943000,20400000,13436025000
04-2103594,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201631349349305408,2015-06-30,2014-07-01,990,71430000,98987000,43596000,837036000,11498000,14532000,390793000,12589776000,166646000,1495654000,111034000,434827000,18276000,13687939000
04-2103594,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201511349349304781,2014-06-30,2013-07-01,990,83436000,63229000,75065000,886215000,10133000,25022000,413704000,11005930000,192422000,1921163000,104323000,411108000,14308000,12589776000
23-1352685,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441349349304879,2023-06-30,2022-07-01,990,230816107,21507000,640944000,457745000,83740000,3489000,1038529000,18363243902,865895325,251536764,0,884020900,0,18596655091
23-1352685,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321459349300747,2022-06-30,2021-07-01,990,129000587,19991000,1261022000,1504234000,56641000,2395000,963866000,18125504928,1068074055,-44134178,0,786200903,0,18363243902
23-1352685,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202201339349304250,2021-06-30,2020-07-01,990,74983000,16183000,453738000,1380773000,75077000,2013000,982467000,13143906966,522077029,5154234442,0,694713509,0,18125504928
23-1352685,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202112579349301971,2020-06-30,2019-07-01,990,103425000,18551000,70002000,411271000,53416000,1805000,871731000,12847660057,494200819,392268889,0,590222799,0,13143906966
23-1352685,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202001929349302700,2019-06-30,2018-07-01,990,132025075,20556000,69463000,673188000,31723000,1266000,785571000,12052014686,355655204,726174722,0,286184555,0,12847660057
23-1352685,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201932259349300833,2018-06-30,2017-07-01,990,114897935,28294000,72953000,571218000,31164000,624000,961971000,10823057735,386383841,1345636475,0,321296341,0,12233781710
23-1352685,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201811319349305006,2017-06-30,2016-07-01,990,101391954,19670000,37201000,470107000,33256000,324000,746708000,9489318954,488726023,1319478609,0,474465852,0,10823057734
23-1352685,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201731329349303163,2016-06-30,2015-07-01,990,69793000,24208000,25893000,481785000,19993000,340000,727513000,9708105142,300549705,-161026895,0,358308998,0,9489318954
23-1352685,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201641339349301489,2015-06-30,2014-07-01,990,111338000,3208000,31990000,715719000,19288000,55000,737955000,9168772072,230022469,638749658,0,329439057,0,9708105142
23-1352685,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201531339349302918,2014-06-30,2013-07-01,990,109246000,4450000,19726000,569673000,29438000,0,912915000,7827594279,294067010,1323529783,0,277022000,0,9168169072
35-0868188,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202411349349301721,2023-06-30,2022-07-01,990,248188874,-1433456,2609373,552817430,16918797,1055809,135962455,17101110252,284935248,181749613,215575998,391677561,0,16960541554
35-0868188,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202341329349307024,2022-06-30,2021-07-01,990,180989256,-1784723,2811075,1487691903,46911549,825111,110165844,18385354395,555937103,-1268535177,200958502,370687567,0,17101110252
35-0868188,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202221339349302942,2021-06-30,2020-07-01,990,111808395,-2261895,2919165,1917196428,64840735,813294,96974500,12319422270,221020540,6335903104,181221864,309769655,0,18385354395
35-0868188,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202111349349302221,2020-06-30,2019-07-01,990,89658903,511380,10474868,796593275,26837488,1437333,90209314,11565964003,422471002,822244833,137642635,353614933,0,12319422270
35-0868188,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202031369349303453,2019-06-30,2018-07-01,990,117469503,2837346,8349213,530493206,17281160,1388985,92512059,11065057730,261246505,765578576,130944418,394974390,0,11565964003
35-0868188,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201911339349304226,2018-06-30,2017-07-01,990,103393125,3369995,6629144,818708260,29117639,657254,86749567,9684936261,662176446,1163921488,124814669,321161796,0,11065057730
35-0868188,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801349349300925,2017-06-30,2016-07-01,990,123064174,6356273,7412869,520624278,27240970,712079,81972684,8748265671,252183660,1064158115,116509007,263162179,0,9684936260
35-0868188,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201741329349300909,2016-06-30,2015-07-01,990,110335110,3085740,8208994,356955681,14790684,607786,88610201,8784380859,337865213,-39870136,108274792,225835473,0,8748265671
35-0868188,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201641339349303844,2015-06-30,2014-07-01,990,139039942,794915,7385444,618101302,25750469,534782,86258879,8189096422,244796294,659396671,100189669,208718859,0,8784380859
35-0868188,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201511349349300721,2014-06-30,2013-07-01,990,null,null,null,null,null,null,null,6959050707,211220228,1317009930,95629513,202554930,null,8189096422
13-5598093,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202401369349302495,2023-06-30,2022-07-01,990,97027125,30519430,16793717,326853343,3180524,0,1227651527,13279846000,470230000,620473000,159593000,530298000,37991000,13642667000
13-5598093,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321359349304707,2022-06-30,2021-07-01,990,31717040,27886233,16983767,1129493002,3817325,0,1212635389,14349970000,588591000,-997276000,143170000,469279000,48990000,13279846000
13-5598093,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202241339349305694,2021-06-30,2020-07-01,990,30964477,6485308,22686587,1312525874,15329161,0,1095861892,11257021000,366226000,3364720000,138726000,454306000,44965000,14349970000
13-5598093,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141379349300639,2020-06-30,2019-07-01,990,52664631,29121920,29817170,581888359,10922247,0,1018877068,10950738000,400986000,562702000,141393000,472489000,43523000,11257021000
13-5598093,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202031969349301328,2019-06-30,2018-07-01,990,89610975,34643451,24112962,388664885,11398350,0,957446951,10869245000,307537000,418416000,137178000,468970000,38312000,10950738000
13-5598093,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201931359349305528,2018-06-30,2017-07-01,990,60420014,33414753,24042004,622649733,21127050,0,932463981,9996596000,640042000,862139000,120019000,469411000,40102000,10869245000
13-5598093,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201841359349303859,2017-06-30,2016-07-01,990,54285243,28261764,30472571,613099939,14869233,0,901056636,9041027000,411858000,1140424000,114376000,441400000,40937000,9996596000
13-5598093,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201731359349305328,2016-06-30,2015-07-01,990,37517545,25586787,68748368,330363240,8688753,0,800463372,9639065000,176354000,-173840000,106989000,449177000,44386000,9041027000
13-5598093,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201631349349303358,2015-06-30,2014-07-01,990,40093184,23447983,89463359,816819584,24392726,0,753365372,9223047000,270192000,739892000,99309000,449275000,45481000,9639066000
13-5598093,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201521329349304602,2014-06-30,2013-07-01,990,50663101,19594558,85971754,555218395,22193108,0,769648021,8197880000,173837000,1424763060,92209000,440268000,40956060,9223047000
36-2167817,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202421949349301317,2023-08-31,2022-09-01,990,118900288,2751310,19590918,73468084,42424020,4598083,33815585,10879850000,251271000,-115362000,80176975,381593025,null,10553989000
36-2167817,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202301989349301715,2022-08-31,2021-09-01,990,58465800,984848,25238403,1026461210,42682394,5635719,33601120,11361182000,210480000,-281680000,71809032,338322968,null,10879850000
36-2167817,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202221959349300517,2021-08-31,2020-09-01,990,78514733,2442085,9117473,1034026666,43656150,3722083,33647149,8484706000,203789000,3066809000,68860448,325261552,null,11361182000
36-2167817,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141959349301014,2020-08-31,2019-09-01,990,56312977,1777567,14234018,583012257,43212619,4416728,31126288,8244818000,152023000,474583000,65785231,320932769,null,8484706000
36-2167817,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202001979349302065,2019-08-31,2018-09-01,990,76107571,1758436,13724545,583682708,50427067,7358027,30641685,8386918000,81883000,144332000,62062353,306252647,null,8244818000
36-2167817,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201921929349301057,2018-08-31,2017-09-01,990,83016433,2811184,10500372,691523254,50682840,7246544,34165247,7947574000,142330000,666151000,59278629,309858371,null,8386918000
36-2167817,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201811949349301011,2017-08-31,2016-09-01,990,84679659,3786534,14328451,562803234,43897271,9456872,29694618,7478167000,137388000,699060000,57423395,309617605,null,7947574000
36-2167817,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201711949349301211,2016-08-31,2015-09-01,990,90856367,3385029,43591280,467842295,39297851,41277605,27790034,7588029000,210532000,75343000,54569108,341167892,null,7478167000
36-2167817,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201621959349301227,2015-08-31,2014-09-01,990,106381973,2542637,79687356,489772332,59593094,47889047,20540687,7501116000,269199000,157310000,53907452,285688548,0,7588029000
36-2167817,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201511949349300746,2014-08-31,2013-09-01,990,null,null,null,null,null,null,null,6283130000,516836000,1075117000,48218677,325748323,null,7501116000
52-0595110,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202421349349308667,2023-06-30,2022-07-01,990,null,null,null,null,null,null,null,8244472000,2491863000,254795000,135921000,233437000,82907000,10538865000
52-0595110,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321289349301232,2022-06-30,2021-07-01,990,null,null,null,null,null,null,null,9315279000,256038000,-963185000,121369000,175404000,66887000,8244472000
52-0595110,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202221319349305807,2021-06-30,2020-07-01,990,null,null,null,null,null,null,null,6750092000,216272000,2693570000,116377000,164765000,63513000,9315279000
52-0595110,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141189349300909,2020-06-30,2019-07-01,990,null,null,null,null,null,null,null,6275939000,574033000,224432000,109958000,153910000,60444000,6750092000
52-0595110,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202011359349304001,2019-06-30,2018-07-01,990,null,null,null,null,null,null,null,4190520000,2095842000,186347000,30735000,128533000,37502000,6275939000
52-0595110,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201931349349307448,2018-06-30,2017-07-01,990,null,null,null,null,null,null,null,3744751000,298290000,330965000,29754000,118923000,34809000,4190520000
52-0595110,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201811309349302511,2017-06-30,2016-07-01,990,null,null,null,null,null,null,null,3306987000,230445000,405542000,111383000,59275000,27565000,3744751000
52-0595110,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201711329349302626,2016-06-30,2015-07-01,990,null,null,null,null,null,null,null,3326932000,155525000,-17203000,104933000,27698000,25636000,3306987000
52-0595110,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201611329349302326,2015-06-30,2014-07-01,990,null,null,null,null,null,null,null,3392529000,83295000,2129000,98729000,28033000,24259000,3326932000
52-0595110,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201501329349302005,2014-06-30,2013-07-01,990,null,null,null,null,null,null,null,2918546000,121246000,487871000,89587000,27380000,18167000,3392529000
43-0653611,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202421359349312512,2023-06-30,2022-07-01,990,116073717,0,29215080,423811957,98273474,0,671892416,12282058885,113834595,-233654264,92305009,504564862,53595596,11511773749
43-0653611,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321359349319812,2022-06-30,2021-07-01,990,46193339,0,21205017,1168195775,79109232,0,610342502,13665385858,279352761,-1110682646,67766887,441600619,42629582,12282058885
43-0653611,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202241369349305474,2021-06-30,2020-07-01,990,51114672,0,33177918,1003067871,112245326,0,554324109,8515200208,159994568,5510916212,55939919,354410016,110375195,13665385858
43-0653611,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202101379349303075,2020-06-30,2019-07-01,990,null,null,null,null,null,null,null,8130482491,166481992,730762852,54980310,374343079,83203738,8515200208
43-0653611,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202031979349307063,2019-06-30,2018-07-01,990,null,null,null,null,null,null,null,7687391565,306042989,686549696,48675577,439804651,61021531,8130482491
43-0653611,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201831359349301718,2017-06-30,2016-07-01,990,null,null,null,null,null,null,null,6526725773,387873106,796318420,36592062,396881934,62485463,7214957840
43-0653611,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201721319349302527,2016-06-30,2015-07-01,990,null,null,null,null,null,null,null,6889229811,264592352,-190069399,32850645,352169079,52007267,6526725773
43-0653611,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201641339349300314,2015-06-30,2014-07-01,990,null,null,null,null,null,null,null,6719449083,263183503,328106791,31635004,344899215,44975347,6889229811
43-0653611,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201541279349301094,2014-06-30,2013-07-01,990,null,null,null,null,null,null,null,5749296905,301804319,915277287,29688243,178112148,39129037,6719449083
56-0532129,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441369349300929,2023-06-30,2022-07-01,990,null,null,null,null,null,null,null,12075706572,184965874,-254889234,116237714,302106147,24371851,11563067500
56-0532129,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202311359349317716,2022-06-30,2021-07-01,990,null,null,null,null,null,null,null,12650280988,152726663,-309426343,111275744,287787237,18811755,12075706572
56-0532129,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211369349311591,2021-06-30,2020-07-01,990,null,null,null,null,null,null,null,8446092302,179916138,4490240275,103342939,342917950,19706838,12650280988
56-0532129,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141379349308034,2020-06-30,2019-07-01,990,null,null,null,null,null,null,null,8580756409,386986275,-41907680,93600293,366342134,19800275,8446092302
56-0532129,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202021979349306017,2019-06-30,2018-07-01,990,null,null,null,null,null,null,null,8497566118,177375334,398470450,91566848,380223513,20865132,8580756409
56-0532129,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201921359349311137,2018-06-30,2017-07-01,990,null,null,null,null,null,null,null,7886329071,117860979,908790366,89041660,305957313,20415325,8497566118
56-0532129,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801359349312415,2017-06-30,2016-07-01,990,null,null,null,null,null,null,null,6816799085,720600842,758983475,86753679,303634618,19666034,7886329071
56-0532129,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201721359349305002,2016-06-30,2015-07-01,990,null,null,null,null,null,null,null,7272129904,137175368,-229083475,82073571,264809551,16539590,6816799085
56-0532129,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201601379349308100,2015-06-30,2014-07-01,990,null,null,null,null,null,null,null,7012623559,288397235,276821181,78414785,227297286,null,7272129904
56-0532129,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201501359349303590,2014-06-30,2013-07-01,990,null,null,null,null,null,null,null,6019979874,125705635,1150829206,76193058,207698098,null,7012623559
58-0566256,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202431929349300718,2023-08-31,2022-09-01,990,245475438,13194644,18906412,317230243,28089569,0,917501876,8905812494,279203170,263698480,51201086,251633437,26382764,9119496857
58-0566256,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202341959349300544,2022-08-31,2021-09-01,990,291565968,13201846,57025951,738123305,7233620,600,821428954,9713595126,49941797,-549185993,42842655,241369686,24326095,8905812494
58-0566256,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211949349300936,2021-08-31,2020-09-01,990,-258133986,13136024,10102082,703470133,30566985,null,762848801,7467506671,1027991,2541116543,40053193,232009733,23993153,9713595126
